,month,cpi
354,1990.1,4.299999999999997
345,1990.10,3.0999999999999943
344,1990.11,3.700000000000003
343,1990.12,4.299999999999997
353,1990.2,4.400000000000006
352,1990.3,3.4000000000000057
351,1990.4,3.200000000000003
350,1990.5,2.700000000000003
349,1990.6,1.0999999999999943
348,1990.7,1.0999999999999943
347,1990.8,2.5
346,1990.9,2.9000000000000057
342,1991.1,2.200000000000003
333,1991.10,4.799999999999997
332,1991.11,4.400000000000006
331,1991.12,4.5
341,1991.2,1.0
340,1991.3,1.5999999999999943
339,1991.4,1.2999999999999972
338,1991.5,3.5999999999999943
337,1991.6,4.400000000000006
336,1991.7,4.700000000000003
335,1991.8,4.900000000000006
334,1991.9,4.5
330,1992.1,5.5
321,1992.10,7.900000000000006
320,1992.11,8.200000000000003
319,1992.12,8.799999999999997
329,1992.2,5.299999999999997
328,1992.3,5.299999999999997
327,1992.4,7.099999999999994
326,1992.5,4.700000000000003
325,1992.6,4.799999999999997
324,1992.7,5.200000000000003
323,1992.8,5.799999999999997
322,1992.9,7.5
318,1993.1,10.299999999999997
309,1993.10,15.900000000000006
308,1993.11,16.700000000000003
307,1993.12,18.799999999999997
317,1993.2,10.5
316,1993.3,12.200000000000003
315,1993.4,12.599999999999994
314,1993.5,14.0
313,1993.6,15.099999999999994
312,1993.7,16.200000000000003
311,1993.8,16.0
310,1993.9,15.700000000000003
306,1994.1,21.099999999999994
297,1994.10,27.700000000000003
296,1994.11,27.5
295,1994.12,25.5
305,1994.2,23.200000000000003
304,1994.3,22.400000000000006
303,1994.4,21.700000000000003
302,1994.5,21.299999999999997
301,1994.6,22.599999999999994
300,1994.7,24.0
299,1994.8,25.799999999999997
298,1994.9,27.299999999999997
294,1995.1,24.099999999999994
285,1995.10,12.099999999999994
284,1995.11,11.200000000000003
283,1995.12,10.099999999999994
293,1995.2,22.400000000000006
292,1995.3,21.299999999999997
291,1995.4,20.700000000000003
290,1995.5,20.299999999999997
289,1995.6,18.200000000000003
288,1995.7,16.700000000000003
287,1995.8,14.5
286,1995.9,13.200000000000003
282,1996.1,9.0
273,1996.10,7.0
272,1996.11,6.900000000000006
271,1996.12,7.0
281,1996.2,9.299999999999997
280,1996.3,9.799999999999997
279,1996.4,9.700000000000003
